Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal)_x,Max HR (bpm)_x,Average HR (bpm)_x,Sleep onset_x,Wake onset_x,Sleep performance %_x,Respiratory rate (rpm)_x,Asleep duration (min)_x,In bed duration (min)_x,Light sleep duration (min)_x,Deep (SWS) duration (min)_x,REM duration (min)_x,Awake duration (min)_x,Sleep need (min)_x,Sleep debt (min)_x,Sleep efficiency %_x,Sleep consistency %_x,Sleep onset_y,Wake onset_y,Sleep performance %_y,Respiratory rate (rpm)_y,Asleep duration (min)_y,In bed duration (min)_y,Light sleep duration (min)_y,Deep (SWS) duration (min)_y,REM duration (min)_y,Awake duration (min)_y,Sleep need (min)_y,Sleep debt (min)_y,Sleep efficiency %_y,Sleep consistency %_y,Nap,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal)_y,Max HR (bpm)_y,Average HR (bpm)_y,HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters),eat_any_food_close_to_bedtime,have_any_alcoholic_drinks,have_any_caffeine_,read_non_screened_device_while_in_bed
2024-09-22 00:00:00,2024-09-22 20:44:13,UTC-05:00,,,,,,8.1,1149.0,136.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False
2024-09-22 20:44:13,2024-09-23 21:31:35,UTC-05:00,59.0,57.0,67.0,33.41,97.06,13.7,2353.0,142.0,71.0,2024-09-22 20:44:13,2024-09-23 05:29:11,90.0,16.8,462.0,524.0,279.0,98.0,85.0,62.0,512.0,0.0,88.0,,2024-09-22 20:44:13,2024-09-23 05:29:11,90.0,16.8,462.0,524.0,279.0,98.0,85.0,62.0,512.0,0.0,88.0,,False,2024-09-23 06:10:00,2024-09-23 07:10:00,60.0,Strength Trainer,12.4,252.0,142.0,109.0,48.0,44.0,7.0,0.0,0.0,False,,,,,,,
2024-09-23 21:31:35,2024-09-25 00:11:03,UTC-05:00,62.0,57.0,64.0,33.4,96.25,15.7,3192.0,182.0,76.0,2024-09-23 21:31:35,2024-09-24 07:10:18,98.0,16.6,513.0,577.0,246.0,120.0,147.0,64.0,521.0,24.0,89.0,,2024-09-23 21:31:35,2024-09-24 07:10:18,98.0,16.6,513.0,577.0,246.0,120.0,147.0,64.0,521.0,24.0,89.0,,False,2024-09-24 17:37:00,2024-09-24 18:03:00,26.0,Walking,10.1,234.0,182.0,133.0,19.0,41.0,7.0,8.0,25.0,False,,,,False,False,True,False
2024-09-23 21:31:35,2024-09-25 00:11:03,UTC-05:00,62.0,57.0,64.0,33.4,96.25,15.7,3192.0,182.0,76.0,2024-09-23 21:31:35,2024-09-24 07:10:18,98.0,16.6,513.0,577.0,246.0,120.0,147.0,64.0,521.0,24.0,89.0,,2024-09-23 21:31:35,2024-09-24 07:10:18,98.0,16.6,513.0,577.0,246.0,120.0,147.0,64.0,521.0,24.0,89.0,,False,2024-09-24 16:50:00,2024-09-24 17:36:00,46.0,Strength Trainer,8.3,327.0,153.0,124.0,6.0,50.0,42.0,1.0,0.0,False,,,,False,False,True,False
2024-09-25 00:11:03,2024-09-25 21:52:51,UTC-05:00,64.0,60.0,67.0,33.3,98.0,12.9,2338.0,159.0,78.0,2024-09-25 00:11:03,2024-09-25 07:54:54,75.0,16.5,387.0,463.0,205.0,84.0,98.0,76.0,515.0,5.0,83.0,53.0,2024-09-25 00:11:03,2024-09-25 07:54:54,75.0,16.5,387.0,463.0,205.0,84.0,98.0,76.0,515.0,5.0,83.0,53.0,False,,,,,,,,,,,,,,,,,,,,,
2024-09-25 21:52:51,2024-09-27 00:20:36,UTC-05:00,58.0,60.0,61.0,32.6,96.8,9.9,2438.0,154.0,76.0,2024-09-25 21:52:51,2024-09-26 04:49:35,70.0,16.5,388.0,416.0,179.0,87.0,122.0,28.0,556.0,63.0,93.0,64.0,2024-09-25 21:52:51,2024-09-26 04:49:35,70.0,16.5,388.0,416.0,179.0,87.0,122.0,28.0,556.0,63.0,93.0,64.0,False,2024-09-26 06:01:30,2024-09-26 06:53:59,52.0,Activity,6.9,247.0,154.0,112.0,40.0,44.0,14.0,0.0,0.0,False,,,,False,False,True,False
2024-09-27 00:20:36,2024-09-28 00:41:42,UTC-05:00,63.0,62.0,62.0,33.5,97.58,11.6,2423.0,156.0,77.0,2024-09-27 00:20:36,2024-09-27 08:30:53,78.0,16.6,441.0,487.0,217.0,81.0,143.0,46.0,563.0,83.0,90.0,56.0,2024-09-27 00:20:36,2024-09-27 08:30:53,78.0,16.6,441.0,487.0,217.0,81.0,143.0,46.0,563.0,83.0,90.0,56.0,False,2024-09-27 16:25:30,2024-09-27 17:17:59,52.0,Strength Trainer,9.3,397.0,156.0,127.0,1.0,52.0,46.0,1.0,0.0,False,,,,False,False,True,False
2024-09-28 00:41:42,2024-09-29 01:34:15,UTC-05:00,3.0,66.0,36.0,33.6,99.0,9.9,1980.0,148.0,87.0,2024-09-28 00:41:42,2024-09-28 02:44:16,12.0,17.4,68.0,122.0,28.0,31.0,9.0,54.0,547.0,61.0,57.0,61.0,2024-09-28 00:41:42,2024-09-28 02:44:16,12.0,17.4,68.0,122.0,28.0,31.0,9.0,54.0,547.0,61.0,57.0,61.0,False,,,,,,,,,,,,,,,,,,,,,
2024-09-29 01:34:15,2024-09-29 23:24:16,UTC-05:00,25.0,68.0,37.0,33.4,97.33,5.3,1791.0,136.0,75.0,2024-09-29 01:34:15,2024-09-29 09:21:27,70.0,17.1,426.0,456.0,200.0,86.0,140.0,30.0,607.0,127.0,93.0,45.0,2024-09-29 01:34:15,2024-09-29 09:21:27,70.0,17.1,426.0,456.0,200.0,86.0,140.0,30.0,607.0,127.0,93.0,45.0,False,,,,,,,,,,,,,,,,,,False,True,False,False
2024-09-29 23:24:16,2024-09-30 23:16:21,UTC-05:00,58.0,58.0,61.0,33.6,97.67,11.7,2419.0,151.0,77.0,2024-09-29 23:24:16,2024-09-30 05:31:35,56.0,16.3,326.0,365.0,157.0,95.0,74.0,39.0,588.0,116.0,89.0,48.0,2024-09-29 23:24:16,2024-09-30 05:31:35,56.0,16.3,326.0,365.0,157.0,95.0,74.0,39.0,588.0,116.0,89.0,48.0,False,2024-09-30 06:18:00,2024-09-30 07:19:29,61.0,Strength Trainer,6.6,233.0,151.0,109.0,53.0,42.0,5.0,0.0,0.0,False,,,,False,False,False,False
